ideal,6,6,0,10s,0s,15315,0,1531,0,10.004169988s,59.452s,594%,99%,3.157,3.464,3.697,3.875,4.056,4.221,4.326,4.550,7.374,500µs
locking,6,6,0,10s,0s,2502,0,250,0,10.021261673s,10.104s,101%,17%,3.472,22.315,23.212,23.747,24.297,25.024,26.870,32.829,44.794,500µs
finelocking,6,6,0,10s,0s,9523,0,952,0,10.005984361s,37.872s,378%,63%,3.262,5.576,6.027,6.298,6.577,6.857,7.093,7.771,10.045,500µs
linearpipe-0,6,6,0,10s,0s,8789,0,878,0,10.005585481s,35.388s,354%,59%,3.776,6.244,6.569,6.802,7.040,7.276,7.425,7.976,12.085,500µs
linearpipe-1,6,6,0,10s,0s,9943,0,994,0,10.005581964s,39.448s,394%,66%,3.677,5.412,5.762,6.028,6.288,6.532,6.687,6.982,9.552,500µs
linearpipe-10,6,6,0,10s,0s,10010,0,1000,0,10.005771661s,39.58s,396%,66%,4.005,5.390,5.730,5.983,6.239,6.474,6.631,6.948,9.941,500µs
linearpipe-100,6,6,0,10s,0s,10000,0,999,0,10.005940092s,39.612s,396%,66%,3.687,5.391,5.730,5.982,6.246,6.494,6.658,6.964,9.172,500µs
ideal,6,6,0,10s,0s,15241,0,1523,0,10.004626061s,59.36s,593%,99%,2.466,3.083,3.540,3.876,4.231,4.544,4.725,5.113,14.553,1ms
locking,6,6,0,10s,0s,2552,0,255,0,10.024009308s,10.096s,101%,17%,3.823,20.858,22.104,23.088,24.345,25.865,27.776,34.329,43.706,1ms
finelocking,6,6,0,10s,0s,8984,0,898,0,10.005338258s,36.18s,362%,60%,3.130,5.127,6.014,6.598,7.239,7.915,8.444,9.911,17.909,1ms
linearpipe-0,6,6,0,10s,0s,7799,0,779,0,10.007270509s,31.604s,316%,53%,4.327,6.480,7.113,7.595,8.110,8.714,9.186,11.055,14.833,1ms
linearpipe-1,6,6,0,10s,0s,9323,0,932,0,10.005960557s,37.312s,373%,62%,3.707,5.296,5.946,6.416,6.890,7.357,7.635,8.182,10.654,1ms
linearpipe-10,6,6,0,10s,0s,9529,0,952,0,10.005951635s,37.996s,380%,63%,3.135,5.066,5.777,6.271,6.787,7.288,7.589,8.193,11.945,1ms
linearpipe-100,6,6,0,10s,0s,9492,0,949,0,10.005242619s,38.012s,380%,63%,3.735,5.135,5.808,6.295,6.813,7.279,7.588,8.127,11.450,1ms
ideal,6,6,0,10s,0s,15334,0,1533,0,10.003618975s,59.472s,595%,99%,1.757,2.657,3.364,3.878,4.399,4.841,5.113,5.511,6.776,1.5ms
locking,6,6,0,10s,0s,2644,0,264,0,10.021186992s,10.152s,101%,17%,2.461,19.644,21.458,22.577,23.825,25.098,26.086,29.663,36.825,1.5ms
finelocking,6,6,0,10s,0s,8712,0,871,0,10.00522652s,34.916s,349%,58%,2.087,4.926,6.059,6.853,7.692,8.459,8.946,9.949,13.661,1.5ms
linearpipe-0,6,6,0,10s,0s,7260,0,725,0,10.007094872s,29.484s,295%,49%,4.360,6.667,7.586,8.230,8.868,9.510,9.951,11.261,14.574,1.5ms
linearpipe-1,6,6,0,10s,0s,8527,0,852,0,10.005451246s,34.528s,345%,58%,2.847,5.293,6.252,6.943,7.706,8.439,8.900,11.192,17.872,1.5ms
linearpipe-10,6,6,0,10s,0s,9010,0,900,0,10.007169213s,36.056s,360%,60%,2.972,4.872,5.908,6.633,7.387,8.076,8.520,9.401,11.943,1.5ms
linearpipe-100,6,6,0,10s,0s,9019,0,902,0,10.004093972s,36.112s,361%,60%,2.756,4.944,5.914,6.621,7.352,8.065,8.489,9.197,10.760,1.5ms
ideal,6,6,0,10s,0s,15247,0,1524,0,10.005514211s,59.368s,593%,99%,1.040,2.297,3.204,3.887,4.597,5.225,5.588,6.178,13.861,2ms
locking,6,6,0,10s,0s,2517,0,251,0,10.024540981s,10.104s,101%,17%,3.681,19.172,21.872,23.691,25.480,27.334,28.526,34.316,64.521,2ms
finelocking,6,6,0,10s,0s,8330,0,832,0,10.008262395s,33.244s,332%,55%,2.048,4.680,6.137,7.200,8.204,9.163,9.784,11.035,21.388,2ms
linearpipe-0,6,6,0,10s,0s,6780,0,677,0,10.008113089s,27.336s,273%,46%,3.658,6.788,8.010,8.848,9.685,10.469,10.935,11.719,13.259,2ms
linearpipe-1,6,6,0,10s,0s,8158,0,815,0,10.006750802s,32.816s,328%,55%,2.862,5.261,6.453,7.318,8.209,9.082,9.594,10.474,13.322,2ms
linearpipe-10,6,6,0,10s,0s,8602,0,860,0,10.007007974s,34.164s,341%,57%,2.261,4.741,6.026,6.954,7.890,8.780,9.287,10.249,11.705,2ms
linearpipe-100,6,6,0,10s,0s,8470,0,847,0,10.005456609s,33.908s,339%,56%,2.612,4.767,6.056,7.029,8.003,8.950,9.564,10.895,17.162,2ms
