mode,par,maxprocs,maxq,dur,interval,ops,drops,thru,dthr,wall,exec,util,upar,min,p05,p25,p50,p75,p90,p95,p99,max,jitter
multi-1,10,6,0,4s,0s,3755,0,936,0,4.009736011s,14.916s,372%,62%,4.000,10.312,10.359,10.463,10.652,11.331,11.725,13.234,14.800,0s
multi-1,100,6,0,4s,0s,3840,0,936,0,4.101279357s,15.192s,370%,62%,3.873,103.438,104.262,105.074,106.868,114.097,116.083,123.362,125.690,0s
multi-1,1000,6,0,4s,0s,4780,0,948,0,5.044131022s,19.056s,378%,63%,3.901,255.838,1050.767,1055.994,1058.017,1061.025,1061.615,1062.111,1062.580,0s
multi-1,10000,6,0,4s,0s,13777,0,950,0,14.501624217s,54.652s,377%,63%,3.912,738.076,3611.057,7260.504,10514.026,10543.650,10544.853,10545.863,10549.548,0s
multi-10,10,6,0,4s,0s,6140,0,1532,0,4.007529599s,23.956s,598%,100%,3.870,3.873,3.875,3.881,3.894,3.980,4.171,5.458,7.804,0s
multi-10,100,6,0,4s,0s,6220,0,1536,0,4.049301005s,24.224s,598%,100%,3.870,3.872,3.874,3.879,3.890,3.936,4.001,4.335,6.466,0s
multi-10,1000,6,0,4s,0s,6703,0,1535,0,4.367607537s,26.136s,598%,100%,3.869,3.873,3.874,3.880,3.893,3.935,4.033,4.336,7.266,0s
multi-10,10000,6,0,4s,0s,20567,0,1524,0,13.498006211s,1m20.72s,598%,100%,3.869,3.873,3.874,3.880,3.894,3.965,4.110,5.258,3283.345,0s
multi-100,10,6,0,4s,0s,5537,0,1382,0,4.007550655s,22.572s,563%,94%,3.870,3.873,3.879,3.890,3.953,4.619,6.532,15.205,25.696,0s
multi-100,100,6,0,4s,0s,5416,0,1343,0,4.03422459s,21.9s,543%,90%,3.870,3.873,3.876,3.885,3.922,4.478,6.889,20.640,56.590,0s
multi-100,1000,6,0,4s,0s,5784,0,1391,0,4.156933328s,23.776s,572%,95%,3.870,3.873,3.876,3.884,3.923,4.572,6.603,15.908,952.801,0s
multi-100,10000,6,0,4s,0s,23459,0,1527,0,15.361535539s,1m31.92s,598%,100%,3.869,3.873,3.874,3.879,3.893,3.942,4.073,4.574,3457.507,0s
multi-1000,10,6,0,4s,0s,6095,0,1522,0,4.003928122s,23.844s,596%,99%,3.870,3.873,3.875,3.882,3.904,4.022,4.278,5.883,7.672,0s
multi-1000,100,6,0,4s,0s,6255,0,1535,0,4.074168058s,24.412s,599%,100%,3.870,3.873,3.874,3.879,3.892,3.939,4.027,4.365,6.388,0s
multi-1000,1000,6,0,4s,0s,6726,0,1534,0,4.383639991s,26.24s,599%,100%,3.852,3.873,3.875,3.880,3.895,3.948,4.045,4.296,6.716,0s
multi-1000,10000,6,0,4s,0s,19142,0,1531,0,12.502312104s,1m14.852s,599%,100%,3.870,3.873,3.874,3.879,3.893,3.949,4.068,4.473,7.375,0s
multi-10000,10,6,0,4s,0s,5223,0,1304,0,4.004476334s,20.316s,507%,85%,3.873,3.876,3.882,3.898,6.235,6.295,6.340,7.056,9.934,0s
multi-10000,100,6,0,4s,0s,5043,0,1243,0,4.057977236s,19.716s,486%,81%,3.871,3.877,3.885,3.923,6.269,6.312,6.393,6.888,15.574,0s
multi-10000,1000,6,0,4s,0s,6148,0,1534,0,4.007749893s,23.984s,598%,100%,3.870,3.873,3.875,3.880,3.893,3.939,4.029,4.325,6.635,0s
multi-10000,10000,6,0,4s,0s,22169,0,1530,0,14.487955232s,1m26.684s,598%,100%,3.844,3.873,3.875,3.880,3.894,3.944,4.053,4.429,5486.813,0s
