mode,par,maxprocs,maxq,dur,interval,ops,drops,thru,dthr,wall,exec,util,upar,min,p05,p25,p50,p75,p90,p95,p99,max,jitter
ideal,10,6,0,10s,0s,15283,0,1528,0,10.00437695s,59.8s,598%,100%,3.870,3.872,3.875,3.880,3.897,3.989,4.167,5.770,7.291,0s
ideal,100,6,0,10s,0s,15333,0,1530,0,10.02414831s,59.924s,598%,100%,3.869,3.872,3.874,3.879,3.895,3.949,4.049,4.361,41.719,0s
ideal,1000,6,0,10s,0s,16115,0,1472,0,10.94486642s,1m3.248s,578%,96%,3.868,3.872,3.874,3.881,3.897,3.984,4.151,11.877,636.284,0s
ideal,10000,6,0,10s,0s,25326,0,1521,0,16.64593316s,1m38.86s,594%,99%,3.869,3.872,3.874,3.879,3.893,3.942,4.048,4.407,5716.576,0s
locking,10,6,0,10s,0s,2467,0,246,0,10.038470126s,10.156s,101%,17%,3.793,37.746,38.401,39.902,40.040,44.620,50.063,59.264,68.977,0s
locking,100,6,0,10s,0s,2484,0,239,0,10.402731718s,10.46s,101%,17%,6.418,398.935,399.360,400.884,425.273,460.938,480.318,498.300,526.917,0s
locking,1000,6,0,10s,0s,3489,0,249,0,14.007256463s,14.152s,101%,17%,4.010,715.969,3530.583,3995.033,4019.403,4024.589,4024.701,4024.815,4041.257,0s
locking,10000,6,0,10s,0s,12531,0,252,0,49.690339968s,49.972s,101%,17%,3.995,2524.302,12377.566,24320.200,36891.623,39361.857,39475.689,39607.289,39692.832,0s
finelocking,10,6,0,10s,0s,9538,0,953,0,10.009609282s,37.72s,377%,63%,3.950,10.315,10.376,10.439,10.524,10.654,10.788,11.591,17.848,0s
finelocking,100,6,0,10s,0s,9600,0,950,0,10.101853196s,38.108s,377%,63%,3.893,103.754,104.285,104.982,105.637,106.625,107.961,114.028,214.895,0s
finelocking,1000,6,0,10s,0s,10441,0,946,0,11.03623192s,41.62s,377%,63%,3.899,564.789,1055.113,1058.268,1060.028,1061.950,1064.081,1069.325,1674.278,0s
finelocking,10000,6,0,10s,0s,19446,0,948,0,20.515478485s,1m17.376s,377%,63%,3.880,1027.059,5110.891,10283.402,10558.359,10572.050,10585.576,10587.209,11269.434,0s
parsteam,10,6,0,10s,0s,9512,0,950,0,10.009834285s,37.62s,376%,63%,2.908,10.368,10.431,10.479,10.540,10.653,10.796,11.440,19.555,0s
parsteam,100,6,0,10s,0s,9588,0,949,0,10.101998731s,37.956s,376%,63%,3.044,104.423,104.774,105.091,105.715,106.304,106.767,109.990,207.822,0s
parsteam,1000,6,0,10s,0s,10471,0,949,0,11.033882529s,41.808s,379%,63%,3.994,564.879,1052.053,1054.941,1056.670,1058.177,1059.088,1060.208,2035.116,0s
parsteam,10000,6,0,10s,0s,19448,0,945,0,20.572818768s,1m17.54s,377%,63%,18.912,1090.905,5148.329,10302.252,10542.418,10550.209,10559.184,10567.316,16892.619,0s
americano,10,6,0,10s,0s,9589,0,958,0,10.010173677s,28.284s,283%,47%,2.934,10.189,10.280,10.354,10.442,10.604,10.782,12.416,18.751,0s
americano,100,6,0,10s,0s,9721,0,962,0,10.102241106s,28.596s,283%,47%,2.916,102.825,103.168,103.658,104.507,105.190,105.924,106.573,208.080,0s
americano,1000,6,0,10s,0s,10535,0,955,0,11.026943362s,31.332s,284%,47%,2.963,542.151,1045.916,1048.308,1049.992,1051.591,1052.752,1056.530,1706.487,0s
americano,10000,6,0,10s,0s,19533,0,959,0,20.362578887s,57.852s,284%,47%,2.911,1064.977,5130.062,10336.061,10443.596,10468.513,10476.148,10484.516,14817.964,0s
espresso,10,6,0,10s,0s,10366,0,1036,0,10.009324614s,20.504s,205%,34%,1.895,9.505,9.564,9.620,9.711,9.850,9.934,10.226,21.396,0s
espresso,100,6,0,10s,0s,10339,0,1024,0,10.095591124s,20.604s,204%,34%,1.922,95.750,96.188,96.807,98.099,99.481,101.882,115.490,186.388,0s
espresso,1000,6,0,10s,0s,11303,0,1031,0,10.961055723s,22.312s,204%,34%,2.165,580.968,963.364,964.729,966.464,983.576,994.169,995.050,1928.105,0s
espresso,10000,6,0,10s,0s,20292,0,1035,0,19.603304363s,39.996s,204%,34%,1.887,1007.683,4860.561,9612.980,9709.208,9724.386,9728.058,9730.831,18563.339,0s
linearpipe-0,10,6,0,10s,0s,9544,0,953,0,10.009922144s,37.98s,379%,63%,4.174,10.233,10.319,10.391,10.501,10.759,10.907,12.508,16.761,0s
linearpipe-0,100,6,0,10s,0s,9625,0,953,0,10.103507234s,38.332s,379%,63%,3.980,103.264,103.613,104.127,105.446,106.582,107.432,118.582,125.147,0s
linearpipe-0,1000,6,0,10s,0s,10557,0,956,0,11.046451329s,42.076s,381%,63%,3.953,552.134,1043.903,1045.143,1046.768,1048.999,1049.879,1053.298,1054.000,0s
linearpipe-0,10000,6,0,10s,0s,19525,0,950,0,20.555637413s,1m17.876s,379%,63%,6.897,1004.228,5075.000,10191.161,10561.682,10565.466,10586.470,10588.636,10590.807,0s
linearpipe-1,10,6,0,10s,0s,10058,0,1005,0,10.009841615s,40.328s,403%,67%,4.144,9.708,9.795,9.867,10.013,10.158,10.383,11.749,18.913,0s
linearpipe-1,100,6,0,10s,0s,10191,0,1009,0,10.100200013s,40.68s,403%,67%,4.094,97.770,98.059,98.665,99.795,100.807,101.267,102.884,106.247,0s
linearpipe-1,1000,6,0,10s,0s,10989,0,999,0,10.994512414s,43.988s,400%,67%,4.085,560.077,991.177,994.686,999.136,1003.312,1047.083,1048.918,1050.470,0s
